ENTITY	YEAR	CATEGORY	VAIC	ICE	HCE	SCE	CCE	VA	HC	SC	CE	LIABILITIES	ASSETS	EQUITY	NETPROFITS	SALES	DEBT	SIZE	ROA	U	V	W	ENTITY_ID
"COFIDE"	2019	"Financiera"	2.62	2.59	2.07	0.52	0.03	69529.00	33592.00	35937.00	2047483.00	8403877.00	10451360.00	2047483.00	26409.00	460495.00	0.80	0.46	0.0025				1
"COFIDE"	2020	"Financiera"	1.55	1.53	1.30	0.23	0.02	44646.00	34376.00	10270.00	2078356.00	10367993.00	12446349.00	2078356.00	20458.00	484995.00	0.83	0.48	0.0016				1
"COFIDE"	2021	"Financiera"	4.89	4.83	4.07	0.75	0.07	151691.00	37254.00	114437.00	2232457.00	10292384.00	12524841.00	2232457.00	41223.00	525181.00	0.82	0.53	0.0040				1
"COFIDE"	2022	"Financiera"	2.62	2.58	2.07	0.52	0.03	73111.00	35391.00	37720.00	2116662.00	9732411.00	11849073.00	2116662.00	33693.00	561805.00	0.82	0.56	0.0035				1
"COFIDE"	2023	"Financiera"	2.10	2.07	1.67	0.40	0.03	71573.00	42970.00	28603.00	2204835.00	8615007.00	10819842.00	2204835.00	71862.00	629957.00	0.80	0.63	0.0066				1
"COMPARTAMOS FINANCIERA"	2019	"Financiera"	2.77	1.84	1.50	0.34	0.93	481695.00	320181.00	161514.00	519747.00	2476334.00	2996081.00	519747.00	97953.00	806002.00	0.83	0.81	0.0327				2
"COMPARTAMOS FINANCIERA"	2020	"Financiera"	0.34	-0.17	0.92	-1.09	0.51	277604.00	302664.00	-302664.00	539152.00	3018234.00	3557386.00	539152.00	-34940.00	679138.00	0.85	0.68	-0.0098				2
"COMPARTAMOS FINANCIERA"	2021	"Financiera"	2.01	1.42	1.23	0.19	0.59	372166.00	302577.00	69589.00	630545.00	3137961.00	3768506.00	630545.00	35223.00	831330.00	0.83	0.83	0.0093				2
"COMPARTAMOS FINANCIERA"	2022	"Financiera"	2.30	1.65	1.38	0.27	0.65	482317.00	349914.00	132403.00	740346.00	3505837.00	4246183.00	740346.00	109724.00	1093946.00	0.83	1.09	0.0258				2
"COMPARTAMOS FINANCIERA"	2023	"Financiera"	2.45	1.74	1.43	0.30	0.71	610361.00	425804.00	184557.00	856226.00	4176807.00	5033033.00	856226.00	115048.00	1360357.00	0.83	1.36	0.0229				2
"CREDISCOTIA FINANCIERA"	2019	"Financiera"	4.32	3.80	3.12	0.68	0.52	565328.00	181250.00	384078.00	1089958.00	4300585.00	5390543.00	1089958.00	266952.00	1603185.00	0.80	1.60	0.0495				3
"CREDISCOTIA FINANCIERA"	2020	"Financiera"	1.69	1.85	-0.66	2.51	-0.16	-96248.00	145742.00	-241990.00	592879.00	2851927.00	3444806.00	592879.00	-174609.00	1221497.00	0.83	1.22	-0.0507				3
"CREDISCOTIA FINANCIERA"	2021	"Financiera"	2.32	2.05	1.65	0.40	0.27	169600.00	102548.00	67052.00	629727.00	2090867.00	2720594.00	629727.00	36988.00	603351.00	0.77	0.60	0.0136				3
"CREDISCOTIA FINANCIERA"	2022	"Financiera"	10.17	9.25	8.37	0.88	0.92	739317.00	88337.00	650980.00	804922.00	2050664.00	2855586.00	804922.00	175142.00	728358.00	0.72	0.73	0.0613				3
"CREDISCOTIA FINANCIERA"	2023	"Financiera"	2.52	2.29	1.84	0.46	0.23	176249.00	95939.00	80310.00	777673.00	2169633.00	2947306.00	777673.00	61326.00	790683.00	0.74	0.79	0.0208				3
"FINANCIERA CONFIANZA"	2019	"Financiera"	2.45	1.76	1.45	0.31	0.68	245532.00	169218.00	76314.00	358955.00	1725201.00	2084156.00	358955.00	45602.00	470519.00	0.83	0.47	0.0219				4
"FINANCIERA CONFIANZA"	2020	"Financiera"	1.85	1.35	1.19	0.16	0.51	188702.00	158694.00	30008.00	373105.00	2158347.00	2531452.00	373105.00	14255.00	465275.00	0.85	0.47	0.0056				4
"FINANCIERA CONFIANZA"	2021	"Financiera"	1.61	1.17	1.09	0.08	0.44	165645.00	151840.00	13805.00	376214.00	1914930.00	2291144.00	376214.00	3155.00	457565.00	0.84	0.46	0.0014				4
"FINANCIERA CONFIANZA"	2022	"Financiera"	2.25	1.68	1.40	0.28	0.57	238273.00	170533.00	67740.00	419003.00	2104068.00	2523071.00	419003.00	42810.00	548839.00	0.83	0.55	0.0170				4
"FINANCIERA CONFIANZA"	2023	"Financiera"	1.82	1.28	1.15	0.13	0.54	223071.00	194489.00	28582.00	411918.00	2263697.00	2675615.00	411918.00	12019.00	591877.00	0.85	0.59	0.0045				4
"FINANCIERA EFECTIVA"	2019	"Financiera"	3.08	2.41	1.93	0.48	0.66	165919.00	85969.00	79950.00	249868.00	734921.00	984789.00	249868.00	55102.00	443351.00	0.75	0.44	0.0560				5
"FINANCIERA EFECTIVA"	2020	"Financiera"	1.46	1.16	1.08	0.08	0.30	76431.00	70517.00	5914.00	252440.00	864584.00	1117024.00	252440.00	2116.00	357253.00	0.00	0.36	0.0019				5
"FINANCIERA EFECTIVA"	2021	"Financiera"	2.87	2.27	1.82	0.45	0.60	167234.00	91810.00	75424.00	279469.00	917096.00	1196565.00	279469.00	53085.00	386538.00	0.77	0.39	0.0444				5
"FINANCIERA EFECTIVA"	2022	"Financiera"	3.26	2.62	2.10	0.52	0.64	223069.00	106476.00	116593.00	347209.00	1014405.00	1361614.00	347209.00	78574.00	482384.00	0.75	0.48	0.0577				5
"FINANCIERA EFECTIVA"	2023	"Financiera"	2.66	2.19	1.76	0.43	0.47	165941.00	94332.00	71609.00	352180.00	1090943.00	1443122.00	352180.00	48568.00	519824.00	0.76	0.52	0.0337				5
"FINANCIERA PROEMPRESA "	2019	"Financiera"	2.52	1.75	1.45	0.31	0.76	64437.00	44568.00	19869.00	84461.00	413575.00	498036.00	84461.00	12114.00	115198.00	0.83	0.12	0.0243				6
"FINANCIERA PROEMPRESA "	2020	"Financiera"	2.01	1.41	1.23	0.18	0.60	50801.00	41405.00	9396.00	84835.00	564761.00	649597.00	84835.00	4647.00	111620.00	0.87	0.11	0.0072				6
"FINANCIERA PROEMPRESA "	2021	"Financiera"	1.62	1.04	1.02	0.02	0.58	48285.00	47440.00	845.00	83194.00	622712.00	705906.00	83194.00	-1640.00	128724.00	0.88	0.13	-0.0023				6
"FINANCIERA PROEMPRESA "	2022	"Financiera"	1.82	1.18	1.10	0.09	0.64	53295.00	48635.00	4660.00	83835.00	639130.00	722966.00	83835.00	641.00	143232.00	0.88	0.14	0.0009				6
"FINANCIERA PROEMPRESA "	2023	"Financiera"	0.61	0.22	0.68	-0.47	0.39	27183.00	39860.00	-12677.00	68944.00	632738.00	701682.00	68944.00	-14090.00	139065.00	0.90	0.14	-0.0201				6
"MITSUI AUTO FINANCE"	2019	"Financiera"	3.55	3.22	2.60	0.62	0.34	71192.00	27385.00	43807.00	210285.00	591702.00	801987.00	210285.00	29836.00	110197.00	0.74	0.11	0.0372				7
"MITSUI AUTO FINANCE"	2020	"Financiera"	2.42	2.21	1.77	0.44	0.21	46833.00	26432.00	20401.00	223414.00	709596.00	933010.00	223414.00	13129.00	125091.00	0.76	0.13	0.0141				7
"MITSUI AUTO FINANCE"	2021	"Financiera"	4.34	3.92	3.23	0.69	0.42	110879.00	34306.00	76573.00	264724.00	811822.00	1076546.00	264724.00	53126.00	186739.00	0.75	0.19	0.0493				7
"MITSUI AUTO FINANCE"	2022	"Financiera"	3.97	3.55	2.89	0.65	0.42	112378.00	38858.00	73520.00	267457.00	952026.00	1219483.00	267457.00	50546.00	208759.00	0.78	0.21	0.0414				7
"MITSUI AUTO FINANCE"	2023	"Financiera"	3.08	2.76	2.21	0.55	0.33	99289.00	44969.00	54320.00	302988.00	1139761.00	1442749.00	302988.00	35531.00	256137.00	0.79	0.26	0.0246				7
"TOTAL SERVICIOS FINANCIEROS"	2019	"Financiera"	3.43	3.21	2.60	0.61	0.22	14470.00	5573.00	8897.00	66082.00	265937.00	332019.00	66082.00	7458.00	40366.00	0.80	0.04	0.0225				8
"TOTAL SERVICIOS FINANCIEROS"	2020	"Financiera"	3.31	3.11	2.51	0.60	0.20	14504.00	5782.00	8722.00	71717.00	266285.00	338002.00	71717.00	5635.00	41691.00	0.00	0.04	0.0167				8
"TOTAL SERVICIOS FINANCIEROS"	2021	"Financiera"	3.25	2.93	2.35	0.58	0.32	26118.00	11091.00	15027.00	80812.00	396663.00	477475.00	80812.00	8974.00	110649.00	0.83	0.11	0.0188				8
"TOTAL SERVICIOS FINANCIEROS"	2022	"Financiera"	2.73	2.40	1.92	0.48	0.33	26470.00	13769.00	12701.00	80653.00	387481.00	468134.00	80653.00	7924.00	122970.00	0.00	0.12	0.0169				8
"TOTAL SERVICIOS FINANCIEROS"	2023	"Financiera"	2.19	1.88	1.53	0.35	0.30	23822.00	15524.00	8298.00	78251.00	337839.00	416090.00	78251.00	4729.00	80784.00	0.81	0.08	0.0114				8
